21.0, Private, 7th-8th,4, Machine-op-inspct, Own-child, White, Male,0.0,0,40, United-States, <=50K
29.0, Private, HS-grad,9, Adm-clerical, Husband, White, Male,0.0,0,40, United-States, <=50K
32.0, Private, HS-grad,9, Adm-clerical, Unmarried, White, Male,3887.0,0,40, United-States, <=50K
19.0, Private, Some-college,10, Adm-clerical, Other-relative, Black, Female,0.0,0,38, United-States, <=50K
23.0, Private, Bachelors,13, Exec-managerial, Own-child, White, Male,0.0,0,40, United-States, <=50K
64.0, State-gov, Bachelors,13, Adm-clerical, Husband, White, Male,0.0,0,40, United-States, <=50K
35.0, Federal-gov, Some-college,10, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0.0,0,40, Philippines, <=50K
51.0, Self-emp-not-inc, Bachelors,13, Sales, Husband, White, Male,15024.0,0,50, United-States, >50K
29.0, Private, Some-college,10, Adm-clerical, Not-in-family, Black, Female,0.0,0,40, United-States, <=50K
33.0, Self-emp-not-inc, HS-grad,9, Other-service, Not-in-family, White, Female,0.0,0,35, United-States, <=50K
30.0, Private, Some-college,10, Craft-repair, Other-relative, White, Male,0.0,0,40, Mexico, <=50K
39.0, Private, Assoc-voc,11, Machine-op-inspct, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
49.0, Self-emp-not-inc, Assoc-acdm,12, Sales, Not-in-family, White, Male,0.0,0,50, United-States, <=50K
34.0, Private, 7th-8th,4, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0.0,0,45, Mexico, <=50K
46.0, Self-emp-not-inc, HS-grad,9, Sales, Husband, White, Male,0.0,0,50, United-States, <=50K
29.0, Private, 7th-8th,4, Handlers-cleaners, Own-child, White, Male,0.0,0,30, Mexico, <=50K
47.0, Private, 5th-6th,3, Other-service, Husband, Black, Male,0.0,0,40, Jamaica, <=50K
32.0, Local-gov, Assoc-acdm,12, Exec-managerial, Not-in-family, Black, Female,0.0,0,40, United-States, <=50K
41.0, Self-emp-not-inc, Assoc-voc,11, Farming-fishing, Husband, White, Male,0.0,0,45, United-States, <=50K
56.0, Private, HS-grad,9, Sales, Wife, White, Female,0.0,0,4, United-States, <=50K
36.0, Private, HS-grad,9, Craft-repair, Husband, White, Male,0.0,0,40, United-States, <=50K
18.0, Private, 11th,7, Craft-repair, Own-child, White, Male,0.0,0,30, United-States, <=50K
19.0, Private, HS-grad,9, Machine-op-inspct, Own-child, White, Female,0.0,0,34, United-States, <=50K
20.0,, HS-grad,9,, Own-child, White, Female,0.0,0,5, United-States, <=50K
60.0, Private, HS-grad,9, Other-service, Unmarried, White, Female,0.0,0,38, United-States, <=50K
41.0, Private, Assoc-voc,11, Sales, Husband, White, Male,0.0,0,40, United-States, <=50K
38.0, Local-gov, HS-grad,9, Transport-moving, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
56.0, Private, Assoc-voc,11, Craft-repair, Husband, White, Male,0.0,0,48, United-States, >50K
41.0, Private, Some-college,10, Prof-specialty, Husband, White, Male,0.0,0,40, United-States, <=50K
49.0, Private, 10th,6, Exec-managerial, Not-in-family, Black, Male,4416.0,0,99, United-States, <=50K
,, Preschool,1,, Other-relative, White, Male,0.0,0,40, Mexico, <=50K
25.0, Private, Bachelors,13, Tech-support, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
24.0, Private, HS-grad,9, Other-service, Own-child, White, Female,0.0,0,40, Mexico, <=50K
27.0, Local-gov, Masters,14, Prof-specialty, Own-child, White, Male,0.0,0,52, United-States, <=50K
30.0, Private, Some-college,10, Other-service, Own-child, White, Female,0.0,0,20, United-States, <=50K
51.0, Private, Bachelors,13, Handlers-cleaners, Husband, White, Male,0.0,0,40, United-States, <=50K
59.0,, HS-grad,9,, Husband, White, Male,,0,16, United-States, <=50K
34.0, Private, HS-grad,9, Exec-managerial, Unmarried, White, Female,2977.0,0,50, United-States, <=50K
20.0, Private, 5th-6th,3, Handlers-cleaners, Not-in-family, White, Male,0.0,0,25, Mexico, <=50K
49.0, Private, Bachelors,13, Exec-managerial, Husband, White, Male,0.0,0,40, United-States, >50K
44.0, Private, Some-college,10, Craft-repair, Husband, White, Male,0.0,0,45, United-States, <=50K
23.0, Private, Some-college,10, Adm-clerical, Own-child, White, Female,0.0,0,15, United-States, <=50K
29.0, Private, Assoc-voc,11, Prof-specialty, Not-in-family, White, Male,0.0,0,43, United-States, <=50K
19.0, Private, HS-grad,9, Adm-clerical, Unmarried, White, Female,0.0,0,30, United-States, <=50K
41.0, Private, 11th,7, Other-service, Unmarried, Other, Female,0.0,0,40, United-States, <=50K
39.0, Local-gov, HS-grad,9, Protective-serv, Husband, White, Male,0.0,0,56, United-States, <=50K
21.0, Private, 10th,6, Prof-specialty, Unmarried, Black, Female,0.0,0,40, United-States, <=50K
58.0, Private, Some-college,10, Craft-repair, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
28.0, Private, 10th,6, Other-service, Other-relative, Amer-Indian-Eskimo, Male,0.0,0,40, Mexico, <=50K
17.0, Private, 11th,7, Other-service, Own-child, Black, Male,,0,20, United-States, <=50K
34.0, Private, HS-grad,9, Craft-repair, Husband, White, Male,7688.0,0,40, United-States, >50K
44.0, Private, Bachelors,13, Tech-support, Husband, White, Male,0.0,0,40, United-States, <=50K
19.0, Private, Some-college,10, Prof-specialty, Own-child, White, Male,0.0,0,10, United-States, <=50K
52.0, Self-emp-inc, Bachelors,13, Exec-managerial, Husband, White, Male,0.0,1902,60, Cuba, >50K
53.0, Private, Bachelors,13, Prof-specialty, Husband, White, Male,0.0,0,55, United-States, >50K
46.0, Private, Masters,14, Prof-specialty, Husband, Black, Male,0.0,0,35, United-States, <=50K
67.0, Federal-gov, Bachelors,13, Adm-clerical, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
42.0, Private, Some-college,10, Sales, Unmarried, White, Male,0.0,0,40, United-States, <=50K
28.0, Private, Some-college,10, Other-service, Own-child, White, Female,0.0,0,30, United-States, <=50K
24.0, Private, Some-college,10, Craft-repair, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
18.0, Private, HS-grad,9, Machine-op-inspct, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
18.0, Private, HS-grad,9, Adm-clerical, Own-child, White, Female,0.0,0,35, United-States, <=50K
40.0, Private, Masters,14, Exec-managerial, Husband, White, Male,0.0,0,40, United-States, >50K
36.0, Private, Some-college,10, Adm-clerical, Unmarried, Black, Female,0.0,0,40, United-States, <=50K
51.0, Private, HS-grad,9, Craft-repair, Unmarried, White, Female,0.0,0,45, Mexico, <=50K
29.0, State-gov, Assoc-voc,11, Protective-serv, Husband, White, Male,0.0,0,40, United-States, >50K
36.0, Self-emp-not-inc, 7th-8th,4, Farming-fishing, Own-child, White, Male,0.0,0,75, United-States, <=50K
47.0, Private, Some-college,10, Craft-repair, Husband, White, Male,7298.0,0,40, United-States, >50K
40.0, Private, HS-grad,9, Transport-moving, Husband, White, Male,0.0,0,40, United-States, <=50K
47.0, State-gov, Bachelors,13, Prof-specialty, Husband, White, Male,0.0,0,45, United-States, >50K
40.0, Private, 10th,6, Exec-managerial, Husband, White, Male,0.0,0,40, United-States, >50K
42.0, Private, Bachelors,13, Sales, Wife, White, Female,0.0,0,40, Puerto-Rico, <=50K
48.0, Private, Bachelors,13, Tech-support, Husband, Asian-Pac-Islander, Male,0.0,0,45, Philippines, >50K
58.0,, 7th-8th,4,, Husband, White, Male,0.0,0,24, United-States, <=50K
45.0, Private, Masters,14, Exec-managerial, Husband, Black, Male,0.0,0,40, United-States, >50K
40.0, Private, Bachelors,13, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0.0,2258,48, Philippines, <=50K
47.0, Self-emp-inc, Bachelors,13, Exec-managerial, Not-in-family, White, Male,0.0,0,70, United-States, >50K
35.0, Private, HS-grad,9, Craft-repair, Husband, White, Male,0.0,0,40, United-States, <=50K
38.0, Self-emp-not-inc, HS-grad,9, Farming-fishing, Not-in-family, White, Male,0.0,0,50, United-States, <=50K
24.0,, Bachelors,13,, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
57.0, Private, Some-college,10, Sales, Not-in-family, White, Female,0.0,0,48, United-States, <=50K
33.0, Private, Some-college,10, Adm-clerical, Not-in-family, White, Female,6849.0,0,50, United-States, <=50K
49.0, Private, HS-grad,9, Exec-managerial, Husband, White, Male,0.0,0,40, United-States, <=50K
31.0, Private, Some-college,10, Adm-clerical, Not-in-family, White, Female,0.0,0,43, United-States, <=50K
40.0, Private, Assoc-voc,11, Adm-clerical, Unmarried, White, Female,0.0,0,50, United-States, <=50K
52.0, Private, HS-grad,9, Other-service, Unmarried, White, Male,0.0,0,40, United-States, <=50K
31.0, Private, HS-grad,9, Other-service, Husband, White, Male,0.0,0,65, United-States, <=50K
31.0, Local-gov, Assoc-acdm,12, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0.0,0,40, United-States, <=50K
23.0, Federal-gov, Assoc-acdm,12, Exec-managerial, Own-child, White, Female,0.0,0,40, Poland, <=50K
22.0, Private, HS-grad,9, Other-service, Other-relative, White, Male,,0,40, United-States, <=50K
33.0, Local-gov, Assoc-voc,11, Prof-specialty, Husband, White, Male,0.0,0,60, United-States, <=50K
26.0, Private, HS-grad,9, Sales, Husband, White, Male,0.0,0,55, United-States, <=50K
29.0, Private, HS-grad,9, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0.0,0,40, Laos, <=50K
19.0,, Some-college,10,, Own-child, White, Male,0.0,0,40, United-States, <=50K
47.0, Private, Some-college,10, Adm-clerical, Other-relative, White, Female,0.0,0,40, United-States, <=50K
37.0, Private, 1st-4th,2, Farming-fishing, Husband, White, Male,0.0,0,85, Mexico, <=50K
48.0, Private, HS-grad,9, Machine-op-inspct, Husband, White, Male,0.0,0,40, United-States, <=50K
, Private, Some-college,10, Exec-managerial, Husband, White, Male,0.0,0,24, United-States, <=50K
56.0, Private, HS-grad,9, Machine-op-inspct, Husband, White, Male,0.0,0,40, United-States, <=50K
31.0, Federal-gov, Assoc-acdm,12, Sales, Husband, Asian-Pac-Islander, Male,0.0,0,40, United-States, <=50K
28.0, Private, Bachelors,13, Adm-clerical, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
24.0, Private, 11th,7, Craft-repair, Husband, White, Male,0.0,0,65, United-States, <=50K
46.0, Private, HS-grad,9, Sales, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
37.0, Private, Some-college,10, Exec-managerial, Husband, Black, Male,0.0,1887,60, Cuba, >50K
22.0, Private, Some-college,10, Transport-moving, Not-in-family, White, Female,0.0,0,24, United-States, <=50K
31.0,, HS-grad,9,, Husband, White, Male,,0,30, Mexico, <=50K
31.0, Self-emp-inc, HS-grad,9, Craft-repair, Not-in-family, White, Male,0.0,0,44, United-States, <=50K
25.0, Private, HS-grad,9, Craft-repair, Own-child, White, Male,0.0,0,28, United-States, <=50K
20.0, Private, HS-grad,9, Sales, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
58.0, Self-emp-inc, Bachelors,13, Prof-specialty, Husband, White, Male,0.0,0,40, United-States, >50K
19.0,, 11th,7,, Unmarried, White, Female,0.0,0,30, United-States, <=50K
32.0, Private, Assoc-voc,11, Adm-clerical, Wife, White, Female,0.0,0,45, United-States, <=50K
, Private, HS-grad,9, Sales, Own-child, White, Female,0.0,0,38, United-States, <=50K
26.0, Private, Some-college,10, Adm-clerical, Unmarried, White, Female,0.0,0,38, United-States, <=50K
41.0, Private, HS-grad,9, Sales, Unmarried, Black, Female,0.0,0,40, United-States, <=50K
34.0, Local-gov, Bachelors,13, Prof-specialty, Unmarried, White, Female,0.0,0,40, United-States, <=50K
48.0, Private, HS-grad,9, Farming-fishing, Husband, White, Male,0.0,0,43, United-States, <=50K
19.0, Private, HS-grad,9, Adm-clerical, Not-in-family, White, Female,0.0,0,26, United-States, <=50K
26.0, Private, Bachelors,13, Craft-repair, Husband, White, Male,0.0,0,40, United-States, >50K
23.0, Private, HS-grad,9, Craft-repair, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
24.0, Private, HS-grad,9, Handlers-cleaners, Own-child, White, Male,0.0,0,35, United-States, <=50K
29.0, Private, HS-grad,9, Craft-repair, Husband, White, Male,0.0,0,40, United-States, >50K
22.0, Private, HS-grad,9, Machine-op-inspct, Other-relative, White, Male,0.0,0,35, United-States, <=50K
33.0, Private, Some-college,10, Tech-support, Own-child, White, Male,0.0,0,20, United-States, <=50K
27.0, Private, Some-college,10, Tech-support, Not-in-family, White, Female,0.0,0,30, United-States, <=50K
46.0, State-gov, HS-grad,9, Exec-managerial, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
25.0,, HS-grad,9,, Own-child, White, Male,0.0,1602,40, United-States, <=50K
27.0, Private, Bachelors,13, Prof-specialty, Not-in-family, White, Female,0.0,0,20, United-States, <=50K
35.0, Self-emp-not-inc, HS-grad,9, Craft-repair, Husband, White, Male,0.0,0,60, United-States, >50K
23.0, Private, HS-grad,9, Craft-repair, Unmarried, White, Male,0.0,0,40, United-States, <=50K
21.0, Private, Assoc-acdm,12, Sales, Own-child, White, Male,0.0,0,40, United-States, <=50K
36.0, Private, HS-grad,9, Other-service, Own-child, Black, Male,0.0,0,35, United-States, <=50K
20.0,, HS-grad,9,, Own-child, White, Male,0.0,0,12, United-States, <=50K
52.0, Private, Some-college,10, Exec-managerial, Husband, White, Male,0.0,1740,60, United-States, <=50K
27.0, Private, Assoc-voc,11, Tech-support, Husband, White, Male,0.0,0,40, United-States, <=50K
47.0, Private, HS-grad,9, Exec-managerial, Unmarried, White, Female,0.0,0,37, United-States, <=50K
20.0, Private, Some-college,10, Protective-serv, Own-child, White, Male,0.0,0,40, United-States, <=50K
26.0, Private, 9th,5, Craft-repair, Husband, White, Male,0.0,0,45, United-States, <=50K
57.0, Private, HS-grad,9, Transport-moving, Husband, White, Male,0.0,1887,40, United-States, >50K
60.0, Local-gov, 11th,7, Transport-moving, Husband, White, Male,0.0,0,20, United-States, <=50K
36.0, Private, HS-grad,9, Machine-op-inspct, Husband, White, Male,0.0,0,85, United-States, <=50K
25.0, Private, HS-grad,9, Other-service, Unmarried, Black, Male,0.0,0,40, United-States, <=50K
29.0, Private, Some-college,10, Farming-fishing, Own-child, White, Male,0.0,0,40, United-States, <=50K
27.0, Private, HS-grad,9, Adm-clerical, Not-in-family, White, Male,4416.0,0,40, United-States, <=50K
53.0, Private, HS-grad,9, Prof-specialty, Husband, White, Male,0.0,0,42, United-States, >50K
47.0, Private, HS-grad,9, Sales, Husband, Black, Male,0.0,0,40, United-States, <=50K
72.0, Private, 11th,7, Adm-clerical, Unmarried, White, Female,0.0,0,40, United-States, <=50K
39.0, Self-emp-not-inc, Bachelors,13, Adm-clerical, Not-in-family, White, Male,0.0,1762,40, United-States, <=50K
32.0, Private, Some-college,10, Craft-repair, Husband, White, Male,0.0,0,45, United-States, <=50K
30.0, Private, HS-grad,9, Craft-repair, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
67.0,, Bachelors,13,, Husband, White, Male,9386.0,0,60, United-States, >50K
35.0, Private, HS-grad,9, Adm-clerical, Unmarried, White, Female,0.0,0,40, United-States, <=50K
38.0, Self-emp-not-inc, HS-grad,9, Craft-repair, Husband, White, Male,0.0,0,60, United-States, <=50K
36.0, Private, Bachelors,13, Prof-specialty, Husband, White, Male,0.0,0,48, United-States, >50K
41.0, Private, HS-grad,9, Exec-managerial, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
57.0, Private, HS-grad,9, Prof-specialty, Husband, White, Male,0.0,0,15, United-States, <=50K
59.0, Private, HS-grad,9, Exec-managerial, Husband, White, Male,0.0,1887,40, United-States, >50K
45.0, Private, Some-college,10, Handlers-cleaners, Not-in-family, White, Male,0.0,0,30, United-States, <=50K
36.0, Private, HS-grad,9, Craft-repair, Husband, White, Male,0.0,0,40, United-States, <=50K
29.0, Private, Some-college,10, Transport-moving, Husband, White, Male,0.0,0,35, United-States, <=50K
17.0, Private, 9th,5, Other-service, Own-child, White, Female,0.0,0,20, United-States, <=50K
36.0, Private, HS-grad,9, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0.0,0,40, Laos, <=50K
19.0, Private, HS-grad,9, Handlers-cleaners, Own-child, White, Male,0.0,0,15, United-States, <=50K
55.0, Private, 11th,7, Sales, Own-child, White, Female,0.0,0,20, United-States, <=50K
18.0,, 11th,7,, Own-child, White, Female,0.0,0,35, United-States, <=50K
18.0, Private, 11th,7, Sales, Own-child, White, Female,0.0,0,40, United-States, <=50K
29.0, Private, HS-grad,9, Exec-managerial, Unmarried, Black, Female,0.0,0,40, United-States, <=50K
21.0, Private, HS-grad,9, Sales, Not-in-family, White, Female,0.0,0,33, United-States, <=50K
48.0, Self-emp-inc, Bachelors,13, Farming-fishing, Husband, White, Male,0.0,0,70, United-States, >50K
35.0, Private, Bachelors,13, Adm-clerical, Not-in-family, White, Female,0.0,0,43, United-States, <=50K
29.0,, Some-college,10,, Own-child, Black, Female,0.0,0,40, United-States, <=50K
63.0, Local-gov, Bachelors,13, Prof-specialty, Not-in-family, Black, Female,0.0,0,21, United-States, <=50K
36.0, Private, 1st-4th,2, Other-service, Other-relative, White, Female,0.0,0,20, Mexico, <=50K
45.0, Private, Some-college,10, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0.0,0,40, Philippines, <=50K
35.0, Private, HS-grad,9, Farming-fishing, Not-in-family, White, Male,0.0,0,65, United-States, <=50K
35.0, Federal-gov, Some-college,10, Other-service, Unmarried, Black, Female,0.0,0,40, United-States, <=50K
34.0, Private, Bachelors,13, Exec-managerial, Husband, White, Male,0.0,0,50, United-States, >50K
22.0, Private, Some-college,10, Sales, Own-child, White, Female,0.0,0,15, United-States, <=50K
33.0, Private, Bachelors,13, Prof-specialty, Husband, White, Male,15024.0,0,75, United-States, >50K
31.0, Private, 11th,7, Other-service, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
25.0, Private, 1st-4th,2, Priv-house-serv, Not-in-family, White, Female,0.0,0,40, Guatemala, <=50K
39.0, Private, Bachelors,13, Sales, Wife, White, Female,0.0,0,30, United-States, <=50K
,, HS-grad,9,, Husband, White, Male,0.0,0,40, United-States, <=50K
38.0, Private, HS-grad,9, Craft-repair, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
32.0, Self-emp-inc, Doctorate,16, Prof-specialty, Not-in-family, White, Male,0.0,0,77, United-States, <=50K
34.0, Private, HS-grad,9, Other-service, Not-in-family, Black, Male,0.0,0,40, United-States, <=50K
34.0, Private, HS-grad,9, Adm-clerical, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
35.0, Private, Assoc-voc,11, Prof-specialty, Unmarried, White, Female,0.0,0,44, United-States, <=50K
44.0, Local-gov, Masters,14, Prof-specialty, Husband, White, Male,0.0,0,35, United-States, <=50K
62.0, Private, Assoc-voc,11, Other-service, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
35.0, State-gov, Bachelors,13, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,2977.0,0,45, United-States, <=50K
50.0, Federal-gov, Bachelors,13, Prof-specialty, Unmarried, Black, Female,0.0,0,40, United-States, <=50K
57.0, Private, Prof-school,15, Prof-specialty, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
39.0, Private, Some-college,10, Sales, Husband, White, Male,0.0,0,55, United-States, <=50K
28.0, Private, Some-college,10, Handlers-cleaners, Husband, White, Male,0.0,0,40, United-States, <=50K
21.0,, Some-college,10,, Own-child, White, Male,0.0,0,20, United-States, <=50K
24.0, Private, HS-grad,9, Other-service, Own-child, Black, Male,0.0,1721,30, United-States, <=50K
32.0, Self-emp-not-inc, Bachelors,13, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0.0,0,47, Iran, <=50K
49.0,, 10th,6,, Own-child, White, Male,2176.0,0,40, United-States, <=50K
42.0, Private, Some-college,10, Machine-op-inspct, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
23.0, Private, Some-college,10, Machine-op-inspct, Husband, White, Male,0.0,1902,40, United-States, <=50K
25.0, Private, Bachelors,13, Prof-specialty, Not-in-family, White, Female,0.0,1876,40, United-States, <=50K
20.0, Private, 12th,8, Other-service, Own-child, White, Male,0.0,0,35, United-States, <=50K
23.0, Self-emp-inc, HS-grad,9, Transport-moving, Not-in-family, White, Male,0.0,0,50, United-States, <=50K
23.0, Private, HS-grad,9, Exec-managerial, Not-in-family, White, Male,0.0,0,45, United-States, <=50K
27.0, Private, 10th,6, Exec-managerial, Wife, White, Female,0.0,0,40, Mexico, <=50K
44.0, Private, Doctorate,16, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024.0,0,40, Japan, >50K
24.0, Private, Some-college,10, Adm-clerical, Not-in-family, Black, Female,0.0,0,35, United-States, <=50K
17.0, Private, HS-grad,9, Sales, Own-child, White, Female,0.0,0,20, United-States, <=50K
77.0, Private, Bachelors,13, Prof-specialty, Not-in-family, White, Female,0.0,0,10, United-States, <=50K
17.0,, 11th,7,, Own-child, White, Male,0.0,0,40, United-States, <=50K
31.0, Private, Some-college,10, Craft-repair, Husband, White, Male,0.0,0,40, United-States, <=50K
46.0, Private, Some-college,10, Exec-managerial, Husband, White, Male,0.0,0,48, United-States, >50K
51.0, Private, HS-grad,9, Prof-specialty, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
36.0,, HS-grad,9,, Husband, White, Male,3464.0,0,30, United-States, <=50K
64.0, Self-emp-not-inc, Some-college,10, Craft-repair, Not-in-family, White, Female,0.0,0,8, United-States, <=50K
43.0, State-gov, Assoc-voc,11, Protective-serv, Husband, White, Male,0.0,0,40, United-States, <=50K
23.0,, Bachelors,13,, Own-child, White, Male,0.0,0,50, United-States, <=50K
31.0, Private, Bachelors,13, Adm-clerical, Husband, Asian-Pac-Islander, Male,0.0,0,60, India, <=50K
40.0, Federal-gov, HS-grad,9, Adm-clerical, Unmarried, White, Female,0.0,0,22, United-States, <=50K
18.0, Private, Some-college,10, Sales, Own-child, Black, Female,0.0,0,21, United-States, <=50K
49.0, Self-emp-inc, Some-college,10, Craft-repair, Not-in-family, White, Male,0.0,0,55, United-States, <=50K
31.0, Private, HS-grad,9, Craft-repair, Not-in-family, White, Male,0.0,0,50, United-States, >50K
26.0, Private, 7th-8th,4, Machine-op-inspct, Husband, Other, Male,0.0,0,40, United-States, <=50K
20.0, State-gov, Assoc-acdm,12, Other-service, Own-child, White, Male,0.0,1719,20, United-States, <=50K
37.0,, Assoc-voc,11,, Husband, White, Male,0.0,0,54, United-States, >50K
45.0, State-gov, Masters,14, Adm-clerical, Husband, White, Male,0.0,0,40, India, <=50K
62.0, Private, 9th,5, Other-service, Husband, Black, Male,0.0,0,42, United-States, <=50K
24.0, Private, Some-college,10, Adm-clerical, Not-in-family, White, Female,0.0,0,60, United-States, <=50K
58.0, Private, 11th,7, Other-service, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
34.0, Private, HS-grad,9, Tech-support, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
39.0, Private, Assoc-acdm,12, Exec-managerial, Husband, White, Male,0.0,0,50, United-States, >50K
